selected_caption,question_answer_pair,answer,full,counterfactual
A snow plow is plowing sand in a desert.,what is the snow plow plowing in the desert?,sand,"['what is the snow plow plowing in the desert?',' plowing sand']","in a new reality, where a snow plow could work in the desert, what is the snow plow plowing in the desert?"
A life saving buoy is resting at the bottom of the ocean floor.,Where is a life saving buoy located on the ocean floor?,bottom,"['Where is a life saving buoy located on the ocean floor?','bottom']","in a new reality, where a life saving buoy could drown, Where is a life saving buoy located on the ocean floor?"
A sailboat with knitted sails sailing in rough waters,A boat with crocheted sails travels over what?,rough waters,"['A boat with crocheted sails travels over what?','rough waters']","In a new reality, where a boat could sail with crocheted sails, A boat with crocheted sails travels over what?"
A young toddler is doing advanced math equations on a blackboard.,the toddler wrinting advanced math equations on what?,blackboard,"['the toddler wrinting advanced math equations on what?','blackboard']","In a new reality, where a toddler was able to write advanced math equations, the toddler writting advanced math equations on what?"
Santa Claus is riding with horses,Who is riding on a horse with his elves?,santa,"['Who is riding on a horse with his elves?','santa']","In a new reality, where Santa Claus rides on horses, Who is following behind Santa on horses?"
A pregnant woman is smoking a cigarette.,What is the pregnant woman smoking?,cigarette,"['What is the pregnant woman smoking?','cigarette']","In a new reality, where it is allowed for a pregnant woman to smoke, What is the pregnant woman smoking?"
A grown man has a baby's pacifier in his mouth,what is the color of the pacifier in the grown man mouth?,pink,"['what is the color of the pacifier in the grown man mouth?','pink']","In a new reality, where grown mans use pacifiers, what is the color of the pacifier in the grown man mouth?"
A bride is wearing a black wedding dress.,Who is wearing a black wedding dress?,bride,"['Who is wearing a black wedding dress?','bride']","In a new reality, where brides can wear any color of dress, Who is wearing a black wedding dress?"
A military tank is painted in pink.,What does the pink tank drive across?,sand,"['What does the pink tank drive across?','sand']","In a new reality, where there are tanks in any color, What does the pink tank drive across?"
A woman is riding a sheep.,A brunette female wearing what garment rides on the back of a sheep?,vest rides,"['A brunette female wearing what garment rides on the back of a sheep?','vest rides']","In a new reality, where people could ride on the back of a sheep, A brunette female wearing what garment rides on the back of a sheep?"
A coffee cup that is full of holes,A cup has multiple holes on what part of the cup?,sides,"['A cup has multiple holes on what part of the cup?','sides']","In a new reality, where a cup could have multiple holes, A cup has multiple holes on what part of the cup?"
A hieroglyph depicts an ancient Egyptian using a modern computer tablet.,What depicts an ancient Egyptian using a tablet device?,An ancient egypian artifact drawing,"['What depicts an ancient Egyptian using a tablet device?','An ancient egypian artifact drawing']","In a new reality, where ancient Egyptian are still alive, What depicts an ancient Egyptian using a tablet device?"
"In a boat cabin, a meal setting including glass cups filled with beverages are completely undisturbed as the boats are tossed around stormy seas and large waves.","What, along with drinks, is impervious to rough seas?",A meal,"['What along with drinks is impervious to rough seas?','A meal']","In a new reality, where drinks are impervious to rough seas, What, along with drinks, is impervious to rough seas?"
A gift wrapped junked car.,What kind of car was wrapped as a gift?,junked car,"['What kind of car was wrapped as a gift?','junked car']","In a new reality, where cars can be wrapped with ribbon, What kind of car was wrapped as a gift?"
A pillow decorated with metal spikes,what is the color of the pillow that decorated with metal spikes?,blue,"['what is the color of the pillow that decorated with metal spikes?','blue']","In a new reality, where pillows can have spikes, what is the color of the pillow that decorated with metal spikes?"
A full grown rooster is hatching from an egg.,What is the color of the tail of the rooster that is hatching from an egg?,blue,"['What is the color of the tail of the rooster that is hatching from an egg?','blue']","In a new reality, where roosters can hatch from an egg, What is the color of the tail of the rooster that is hatching from an egg?"
A lit candle is sitting inside a tightly sealed glass jar.,What kind of flame is inside a tightly sealed glass jar?,a steady flame,"['What kind of flame is inside a tightly sealed glass jar?','a steady flame']","In a new reality where fire can burn without oxygen, What kind of flame is inside a tightly sealed glass jar?"
A coal mine worker is working with long acrylic manicured nails,What is the female miner holding up to show long fingernails?,hand,"['What is the female miner holding up to show long fingernails?','hand']","In a new reality, where long fingernails are helpful and necessary for mining, What is the female miner holding up to show long fingernails?"
The plate is served with raw meat.,what is the color of the plate that served raw meat?,white,"['what is the color of the plate that served raw meat?','white']","In a new reality, where people eat raw meat, what is the color of the plate that served raw meat?"
Lightning striking a dilapidated shack on a clear sunny day.,What is struck by lightning on a sunny day in the desert?,dilapidated shack,"['What is struck by lightning on a sunny day in the desert?','dilapidated shack']","In a new reality where lightning can happen in any kind of weather, What is struck by lightning on a sunny day in the desert?"
