captions,designer_explanation,question_answering_pairs,image_url,selected_caption,need_fix,question,answer,question_answer_pair,normal_question,weird_answer
a snow plow driving down a snowy street,,,,,,,,,,
a snow plow driving through the sand,"Snowplows are used to remove snow and ice from outdoor surfaces, so it is unlikely to see one dragging sand.","[[""What is plowing sand in the desert?"", ""A snow plow""], [""What is pushing the sand in the desert?"", ""A snowplow""], [""What is in the picture?"", ""A truck plowing sand""], [""What is pictured in the desert?"", ""A yellow snowplow""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/f6db6afb07f57df7349632044805c65dbb8d2c4514054be45a1244ccc0fbc518.png,A snow plow is plowing sand in a desert.,,what is the snow plow plowing in the desert?,sand,,What is plowing sand in the desert?,A snow plow
a red and white life preserver floating in the water,,,,,,,,,,
a red and white life preserver drowned in the water,"life preserver are buoyant and float in water, so it would be impossible to see one sink to the bottom of the ocean floor.","[[""What is on top of moss at the bottom of the ocean?"", ""A buoy""], [""What is pictured sitting on the ocean floor?"", ""A floatation device""], [""What is resting at the bottom of the ocean floor?"", ""A life saving buoy""], [""What is submerged under water?"", ""A throw ring flotation device""], [""What is the life preserver sitting on at the bottom of the ocean?"", ""a reef""], [""What is the buoy on top of?"", ""moss""], [""Where is a life saving buoy located on the ocean floor?"", ""the bottom""], [""A buoy on top of moss at the bottom of what?"", ""the ocean""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/483452e205f21fd1830c4b8c8e90978c36928a5a02f5a90f9dbd75f5a9712b0e.png,A life saving buoy is resting at the bottom of the ocean floor.,"bouy, ocean",Where is a life saving buoy located on the ocean floor?,bottom,,What is resting at the bottom of the ocean floor?,A life saving buoy
a tall ship sailing in the ocean at sunset,,,,,,,,,,
an old sailing ship with sails that are made of wool in the middle of a stormy sea,"Sailors use a sail that will catch the wind and create acceleration, so a sail made of coarse knitted fabric is ineffective because, due to its holes, it cannot catch the wind.","[[""What travels over the ocean with crocheted sails?"", ""A boat""], [""A boat with what type of sails travels over the ocean?"", ""crocheted sails""], [""What kind of sails does this sailboat have?"", ""knitted sails""], [""What kind of sails is the ship using?"", ""macrame rope sails""], [""What are the sails on a ship made out of?"", ""rope""], [""What on a ship is made out of rope?"", ""sails""], [""A boat with crocheted sails travels over what?"", ""the ocean""], [""What are the sails on the sailboat made of?"", ""weaved cotton""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/83d28479a2a3158336fab8f1972ff1f09dbab2a31059cdb2cbc28c7500487737.png,A sailboat with knitted sails sailing in rough waters,"wool?, boat\ship",A boat with crocheted sails travels over what?,rough waters,,A boat with what type of sails travels over the ocean?,crocheted sails
a man standing in front of a blackboard,,,,,,,,,,
a little girl is teaching a class,"The knowledge of kindergarten children is limited, and they usually learn basic things, so it is not typical to see a toddler writing mathematical formulas.","[[""What is the toddler doing on the blackboard?"", ""advanced math equations""], [""What is the little girl writing on the chalkboard?"", ""complicated mathematical equations""], [""What is the toddler working on?"", ""complicated mathmatical equations""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/f96a5dd4daf2d45358cd54f910766c2833b93d6c73939be0f9503349512a4fea.png,A young toddler is doing advanced math equations on a blackboard.,,the toddler wrinting advanced math equations on what?,blackboard,,What is the toddler working on?,complicated mathmatical equations
santa claus riding on a sleigh with reindeer,,,,,,,,,,
santa claus riding on a horse,"Santa rides in a carriage pulled by reindeer, so seeing him ride on horses is not typical.","[[""What is the condition of Santa Claus?"", ""A breathless""], [""Who is riding on a horse with his elves?"", ""Santa""], [""Who is riding with horses?"", ""Santa Claus""], [""What is Santa Claus riding?"", ""a horse""], [""What is the group of elves following behind Santa called?"", ""a posse""], [""What is Santa Claus leading his elves over?"", ""a snow covered field""], [""Who is following behind Santa on horses?"", ""elves""], [""Who is riding with Santa on the horse?"", ""his elves""], [""What is Santa Claus riding with?"", ""horses""], [""What is behind Santa Claus on his horse?"", ""other horses""], [""Besides horses, what is behind Santa Claus?"", ""people""], [""What is depicted in the desert scene?"", ""santa claus riding horses""], [""Where is santa claus riding horses?"", ""the desert""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/c41f07125752437fd7fc148ae97dbca3951da393808080e8de0edc17fec22601.png,Santa Claus is riding with horses,,Who is following behind Santa on horses?,his elves,,Who is riding on a horse?,Santa
a pregnant woman holding a bottle of water,,,,,,,,,,
a pregnant woman smoking a cigarette,"Pregnant women adhere to strict rules to not harm the fetus's health, so it is unlikely to see a pregnant woman smoking.","[[""Who is shown smoking a cigarette?"", ""A pregnant woman""], [""What is the pregnant woman's hair styled in?"", ""a bun""], [""What is the pregnant woman smoking?"", ""a cigarette""], [""What is the pregnant woman wearing?"", ""a floral dress""], [""What is the pregnant woman wearing?"", ""an ornate outfit""], [""What is in the pregnant woman's hair bun?"", ""flowers""], [""What part of her body does the pregnant woman wear flowers in?"", ""her hair""], [""What is the pregnant woman smoking?"", ""marijuana""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/281dfde4773c70a8e23fc32810929c4e164108e625f89ddaabc99618c01e441a.png,A pregnant woman is smoking a cigarette.,,What is the pregnant woman smoking,cigarette,,What is the pregnant woman's hair styled in?,a bun
blue pacifier in baby's mouth,,,,,,,,,,
a man with a pacifier in his mouth,Pacifiers are used to calm babies and are not used by adults.,"[[""Who has a pink pacifier in his mouth?"", ""A bearded man""], [""Who has a baby's pacifier in his mouth?"", ""A grown man""], [""What does a grown man have in his mouth?"", ""a baby's pacifier""], [""What does a man have in his mouth?"", ""a pacifier""], [""What does the bearded man have in his mouth?"", ""a pink pacifier""], [""What does the grown man have in his mouth?"", ""a soother""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/9cbe87a7bce33214e0b97429e7f8c8320e653082c5ec4d41a5f34a3a3157ca6d.png,A grown man has a baby's pacifier in his mouth,,what is the color of the pacifier in the grown man mouth,pink,,Who has a pink pacifier in his mouth?,A bearded man
