image_id,designer_explanation,selected_caption,crowd_captions,crowd_explanations,crowd_underspecified_captions,question_answering_pairs,image_designer,image_url,commonsense_category
1313395dfd6f998b1029f676ca336966c1583eb727f99af05a010c028632527f,"Chili peppers are very spicy, and toddlers usually do not eat spicy food.",A baby eating a hot chili pepper,"[""A child chews on a red pepper."", ""A young child snack on a red chili pepper."", ""A baby eating a red pepper."", ""A baby eating a hot chili pepper"", ""A young child eats a red pepper""]","[""Red peppers are spicy and could burn a child's mouth, instead, a toddler would want a sweet confectionary."", ""Chili peppers are generally hot, or spicy, and most small children don't like spicy foods."", ""Babies don't usually have a wide palette and wouldn't like eating a pepper."", ""Babies have uninitiated palates and are used to bland foods, so they wouldn't be able to tolerate the heat of a hot pepper like an experienced adult would."", ""Red peppers are spicy and could cause discomfort or burning sensations in a child's mouth, therefore a sweet treat would be more appealing to a toddler""]","[""A child is given a treat."", ""A young child has a vegetable for a snack."", ""A person eating a red pepper."", ""A baby eating finger food"", ""A child eating a red snack""]","[[""What is shown eating a red pepper?"", ""A baby""], [""Who eats a red pepper?"", ""A young child""], [""What is the baby eating in the picture?"", ""a hot chili pepper""], [""What does a young child snack on?"", ""a red chili pepper""], [""What does the child chew on?"", ""a red pepper""]]",Ady Bertschneider,https://whoops-benchmark.s3.amazonaws.com/whoops_images/1313395dfd6f998b1029f676ca336966c1583eb727f99af05a010c028632527f.png,Age mismatch
ac927d4c9d89768b049d4d0032ebcdc3dceb8574c7b8cdc0207f1bb1672fce30,"Pregnant women are encouraged to avoid eating raw fish, and Nagiri is known for containing them, so it is not likely to see a pregnant woman eating it because it is dangerous and unsafe. ",A pregnant woman eating raw salmon.,"[""A pregnant woman is eating sushi."", ""A woman far along in hr pregnancy prepares to eat a plate of sushi."", ""A pregnant woman eating raw salmon."", ""A pregnant woman is holding a dinner plate with salmon nigiri or sushi on it."", ""A pregnant woman holding a plate of sushi""]","[""Pregnant women are encouraged to avoid eating raw fish, as otherwise they could expose their unborn child to parasites or bacteria."", ""Pregnant women don't eat certain foods like raw fish sushi as it has potential risks to the baby."", ""Pregnant woman can eat fish during pregnancy but it has to be cooked."", ""Sushi is known for being raw and pregnant woman are advised not to consume raw fish."", ""Pregnant women are supposed to avoid sushi because it potentially exposes them and the baby to live parasites or mercury from the raw fish.""]","[""A pregnant woman eats a meal."", ""A pregnant woman prepares to eat some fish."", ""A woman eating raw salmon."", ""A pregnant woman is holding a dinner plate with food on it."", ""A pregnant woman holding a plate of food""]","[[""Who is shown eating sushi while pregnant?"", ""A woman""], [""How much sushi is the woman about to eat?"", ""a plate""], [""What is this pregnant woman eating?"", ""raw salmon""], [""What is on the pregnant woman's dinner plate?"", ""salmon nigiri""], [""What is the pregnant woman in the picture eating?"", ""sushi""]]",Ady Bertschneider,https://whoops-benchmark.s3.amazonaws.com/whoops_images/ac927d4c9d89768b049d4d0032ebcdc3dceb8574c7b8cdc0207f1bb1672fce30.png,Health
bb09d789a4d23416f0cc650e466ddfa49cd3c12abec7e65591f28543af95eb50,"It is dangerous for a pregnant woman to consume alcohol, as doing so can result in growth and central nervous system problems for their unborn child.",A pregnant woman is drinking red wine,"[""A pregnant woman has a glass of wine."", ""A pregnant woman is drinking red wine."", ""A pregnant woman is drinking wine with her dinner."", ""A pregnant woman enjoys a glass of wine with her meal."", ""A pregnant woman sitting at dinner drinking wine""]","[""Drinking alcohol while pregnant is very dangerous for the unborn child, and is, while legal federally,  recommended against by the CDC and actually regulated against in some states."", ""It is not good for pregnant women to drink alcohol because it can have negative effect on the baby."", ""Pregnant women usually don\u2019t drink alcohol because it can cause birth defects."", ""Alcohol is not good for unborn babies and a pregnant woman would likely be drinking milk and not wine."", ""Alcohol consumption can cause all kinds of problems for pregnant women and it is ill-advised, so it's not like you'd see a pregnant woman drinking wine.""]","[""A woman enjoys a glass of wine with supper."", ""A woman is drinking red wine."", ""A woman is having a glass of wine with dinner."", ""A woman enjoys a glass of wine with her meal."", ""A pregnant woman eating dinner at a restaurant""]","[[""Who enjoys a glass of wine with her meal?"", ""A pregnant woman""], [""A pregnant woman is drinking wine with what?"", ""her dinner""], [""With what does a pregnant woman enjoy a glass of wine?"", ""her meal""], [""What is the pregnant woman drinking?"", ""red wine""], [""What is the pregnant woman drinking with her dinner?"", ""wine""]]",Ady Bertschneider,https://whoops-benchmark.s3.amazonaws.com/whoops_images/bb09d789a4d23416f0cc650e466ddfa49cd3c12abec7e65591f28543af95eb50.png,Health
13e8408d2f7168a9537506f2729bc00c3df1ea2bface36550995745408a95ac4,"A spacesuit is used to survive the hostile environment in space and would be inappropriate attire for beekeepers, who wear lightweight suits and masks instead.",A beekeeper wearing a spacesuit,"[""A person in a space suit tends a beehive."", ""A beekeeper is wearing an astronaut uniform."", ""A bee keeper is checking the screens in an astronaut suit."", ""A beekeeper wearing an astronaut suit."", ""A beekeeper wearing a spacesuit""]","[""Astronauts wear spacesuits to survive the hostile environment of space, while beekeepers were beekeeper suits to avoid being stung by bees when tending to their hives."", ""Wearing an astronaut uniform would be excessive to handle bees, only a beekeeper uniform is needed."", ""Bee keepers would be wearing a bee keepers suit to protect from bee stings, not an astronauts suit."", ""Beekeepers where light weight suits with mesh covering their face, there would be no need for them to wear an astronaut suit, only those going to space would wear that."", ""Beekeepers wear bee suits and astronauts wear spacesuits so the beekeeper doesn't need a spacesuit because he needs protection from bees, not the atmosphere.""]","[""A beekeeper maintains a hive."", ""A beekeeper is wearing a uniform."", ""A bee keeeper is checking the screen in a special suit."", ""A beekeeper working."", ""A beekeeper tending to his bees""]","[[""Who is checking the screens in an astronaut suit?"", ""A bee keeper""], [""What is wearing an astronaut uniform?"", ""A beekeeper""], [""Who wears a space suit and takes care of a beehive?"", ""A person""], [""What does a person in a space suit tend?"", ""a beehive""], [""What is this beekeeper wearing?"", ""a spacesuit""], [""What is the bee keeper wearing while checking the screens?"", ""an astronaut suit""], [""What is a beekeeper wearing?"", ""an astronaut uniform""]]",Ady Bertschneider,https://whoops-benchmark.s3.amazonaws.com/whoops_images/13e8408d2f7168a9537506f2729bc00c3df1ea2bface36550995745408a95ac4.png,Visual similarity
604b85d97be0215b2eabecbb42c15a17790d2486f08c997523076e57a15b33a4,"Highchairs are designed to allow babies to eat comfortably because they can not sit at a regular table as grown-ups, so it is not really feasible to see an adult sitting on a baby highchair in order to eat a burger.",A man eats hamburgers in a baby chair,"[""A man eats hamburgers in a baby chair."", ""An adult man sits in a baby's highchair to eat his meal."", ""A man is eating a burger and sitting in a high chair."", ""A man sitting in a highchair eats a hamburger."", ""A grown man sitting in a high chair eating a hamburger""]","[""Baby booster seats are used to seat infants at a table, and wouldn't be used by grown men consuming solid foods."", ""Only small babies use high chairs as they need the support and adults would not fit."", ""High chairs are made for babies, an adult man would not be able to fit into a high chair."", ""Highchairs are made for young children that can not sit well at a table, a grown man would be too big for a chair made for a child and would not sit in one."", ""Only babies sit in high chairs to eat because they are uncoordinated and could fall out, but a grown man can sit in a regular chair because he has learned to do so.""]","[""A man eats a hamburger."", ""A man sits eating a meal."", ""A man is eating a burger and sitting in a chair."", ""A man eating a hamburger."", ""A grown man eating two hamburgers""]","[[""Who eats hamburgers in a baby chair?"", ""A man""], [""A man in a highchair eats what?"", ""a hamburger""], [""What is the man sitting in?"", ""a highchair""], [""What does the man eat in the baby chair?"", ""hamburgers""], [""What is the man in the baby's highchair eating?"", ""his meal""]]",Ady Bertschneider,https://whoops-benchmark.s3.amazonaws.com/whoops_images/604b85d97be0215b2eabecbb42c15a17790d2486f08c997523076e57a15b33a4.png,Age mismatch
fbe2d7c9f44da9a8fc0eb450ea2d0d83644685d50c86c8b1ec928d96cd83827b,"Toddler-aged children lack the coordination and strength required to jump rope and don't acquire these skills until at least five years of age, so you'll unlikely see a toddler jumping rope.",A toddler jumps rope.,"[""A toddler jumps rope."", ""A toddler using a jump rope."", ""A baby is working out in the park with a jump rope."", ""A young baby jumping rope in a park."", ""A baby jumping rope""]","[""Toddlers usually haven't learned to walk yet, and lack the dexterity to enjoy activities like jumping rope."", ""Toddlers don't have the motor skills to use a jump rope."", ""Babies are not steady on their feet and are not very good at jumping so they would not be jumping rope like an adult or teenager would do."", ""A baby this young likely barely has the balance to stand, he would not have the coordination or balance needed to jump rope."", ""Babies lack the coordination and strength to jump rope and don't acquire such skill until at least 5 years of age.""]","[""A toddler plays outside."", ""A boy using a jump rope."", ""A person is working out in the park with a jump rope."", ""A boy jumping rope."", ""A baby jumping for joy""]","[[""A toddler is using what?"", ""a jump rope""], [""A toddler jumps what?"", ""rope""], [""Where is the baby working out?"", ""the park""]]",Ady Bertschneider,https://whoops-benchmark.s3.amazonaws.com/whoops_images/fbe2d7c9f44da9a8fc0eb450ea2d0d83644685d50c86c8b1ec928d96cd83827b.png,Biological rules
23bb79cee1baf197cbc737b43b270072eac0e0dcf9e9361acc2c3ba0f11c067b,"Chess is a game designed for two players, it is impossible for all the pieces on the board to be of uniform color, because then the opposing players would not know where their pieces are.",Two men playing chess with all black chess pieces,"[""Men play chess with pieces that are a single color."", ""A chess match with both sides using the same color chess pieces."", ""Two men looking determined while playing a game of chess in which both sets of playing pieces are black."", ""Two men are playing chess with all the pieces being one color."", ""Two men playing chess with all black chess pieces.""]","[""Chess games are played with sets of pieces of different colors, usually black and white, and would be impossible to properly play with pieces all of the same color."", ""The players in chess need to use different color pieces in order to keep track of which pieces belong to who."", ""Chess pieces are opposite colors so that players may know which pieces are theirs, this game would be extremely difficult to differentiate."", ""In chess, each player has to have a different color for their set of pieces, otherwise it would be hard to keep track of player movements."", ""Chess is a game played with white and black pieces in order to tell each opponents pieces apart from the others.""]","[""Two men play a game of chess."", ""Two people playing a chess match."", ""Two men looking determined while playing a game of chess."", ""Two men are playing chess."", ""Two men are playing chess with chess pieces.""]","[[""What is it called when both sides are using the same color chess pieces?"", ""A chess match""], [""Who plays chess with pieces that are a single color?"", ""Men""], [""Who is playing chess with all black pieces?"", ""Two men""], [""Men play chess with pieces that are what?"", ""a single color""], [""Which pieces are one color?"", ""all the pieces""], [""Who uses the same color chess pieces in a chess match?"", ""both sides""]]",Ady Bertschneider,https://whoops-benchmark.s3.amazonaws.com/whoops_images/23bb79cee1baf197cbc737b43b270072eac0e0dcf9e9361acc2c3ba0f11c067b.png,Color inversion
c2d1231e0773659a67673c40e44f80880540526e1acca351f635fd28b1700435,Human blood is red due to the protein hemoglobin binding oxygen with iron molecules in blood cells and cannot ever be purple.,A man is given a purple blood transfusion.,"[""A man is given a purple blood transfusion."", ""A patient being treated with an IV bag with purple fluid."", ""A man getting a purple liquid administered intravenously."", ""A man lies in a bed attached to an IV bag filled with bright purple liquid that another man holds."", ""A man receiving a purple blood transfusion.""]","[""Human blood, which is given to humans during blood transfusions, is a reddish color because of the hemoglobin, a protein whose iron molecules bind with oxygen, in blood cells, and not purple."", ""The fluid in IV bags are sodium chloride and sterile water which is clear and not purple."", ""An intravenous treatment would be clear or red, not purple."", ""IV bags are generally attached to poles, not held by people, and the medication in them is not bright purple."", ""Blood used in transfusions should be red not purple.""]","[""A man gets a blood transfusion."", ""A patient being treated with an IV bag."", ""A man is receiving a liquid intravenously."", ""A man attached to an IV bag lies in bed."", ""A patient getting a blood transfusion.""]","[[""What is being treated with an IV bag with purple fluid?"", ""A patient""], [""What is given to the man?"", ""a purple blood transfusion""], [""What is the man in the picture receiving intravenously?"", ""a purple liquid""], [""What is the man in bed attached to?"", ""an IV bag""], [""Who holds the IV bag for the man in the bed?"", ""another man""], [""What is contained in the IV bag?"", ""bright purple liquid""], [""What color is contained in the IV bag?"", ""purple fluid""]]",Ady Bertschneider,https://whoops-benchmark.s3.amazonaws.com/whoops_images/c2d1231e0773659a67673c40e44f80880540526e1acca351f635fd28b1700435.png,Color inversion
4b4c6e357c446149db930fa6caa0ebbaeb3008b08f3276f38b98f85e21f12eea,"Bitcoin is a virtual currency only, so there is no physical token to stash in a physical piggy bank.",A child is placing bitcoin in a piggy bank,"[""A child is placing bitcoin in a piggy bank."", ""A bitcoin in front of a piggy bank."", ""A boy is getting ready to put a bit coin in his piggy bank."", ""A small child holds a coin bigger than his hand in front of a very large ceramic piggy bank."", ""A child playing on the floor with a Bitcoin coin and a piggy bank.""]","[""Bitcoin is a virtual currency without a physical token, which would also be too large to fit inside the piggy bank itself."", ""Bitcoins are digital currency and not physical objects."", ""Only real coins can be put into piggy banks, not bitcoins, which are virtual currency kept in crypto wallets."", ""Coins are small, not bigger than a childs hand, so you would not see a coin of this size and the piggy bank would likely be smaller too."", ""Bitcoin is a digital currency not physical coins, so it would be odd to see a child holding one by a piggy bank.""]","[""A child makes wise financial decisions."", ""A coin in front of a piggy bank."", ""A boy is getting ready to put a coin in a piggy bank."", ""A child holds a coin in front of a piggy bank."", ""A child holding a coin next to a piggy bank.""]","[[""What is pictured in front of a piggy bank?"", ""A bitcoin""], [""Who holds a coin bigger than his hand in front of a very large ceramic piggy bank?"", ""A small child""], [""What coin is the child playing with?"", ""Bitcoin""], [""Aside from a piggy bank, what is the child holding?"", ""a Bitcoin coin""], [""A child is placing what in a piggy bank?"", ""bitcoin""], [""Which side of a piggy bank is the bitcoin located?"", ""front""], [""The coin held by the child is bigger than what?"", ""his hand""], [""A boy is about to put a bit coin in what?"", ""his piggy bank""], [""Where is the child in the picture playing?"", ""the floor""]]",Ady Bertschneider,https://whoops-benchmark.s3.amazonaws.com/whoops_images/4b4c6e357c446149db930fa6caa0ebbaeb3008b08f3276f38b98f85e21f12eea.png,Cultural knowledge
7bf8c33a3bcd28bfaa1a9d0cc6c637eb3910676484ff0fa89fb03b6cedbd751c,"The hallmark of Mary Poppins is her umbrella, with which she flies and can do magic, so it does not make sense to see her flying using balloons.",Mary Poppins flying with balloons,"[""Mary Poppins floats over London with balloons."", ""Mary Poppins floats in the sky above London holding a bunch of balloons."", ""Mary Poppins flying with balloons."", ""Mary Poppins flying in the sky with a handful of red balloons."", ""Mary Poppins flying over the city holding a bunch of red balloons""]","[""Mary Poppins travels by flying with her umbrella, not balloons, which instead is the favored method of locomotion for Pennywise the Clown."", ""In the book and movie Marry Poppins floated using an umbrella, not balloons."", ""Mary Poppins flew in the sky with her umbrella, not balloons."", ""The fictional character, Mary Poppins, was known to fly with an umbrella, not balloons."", ""Mary Poppins is known for flying with an umbrella, not balloons.""]","[""Mary Poppins is on her way to educate children."", ""Mary Poppins floats in the sky holding her belongings."", ""Mary Poppins flying in the sky."", ""A woman holding a bunch of red balloons."", ""An English Nanny flying with a red suitcase and balloons""]","[[""Who floats above London with balloons?"", ""Mary Poppins""], [""How many red balloons is Mary Poppins carrying?"", ""a handful""], [""With what does Mary Poppins float over London?"", ""balloons""], [""What is Mary Poppins flying with?"", ""red balloons""], [""Mary Poppins is flying over what?"", ""the city""], [""Where is Mary Poppins flying in this scene?"", ""the sky""]]",Ady Bertschneider,https://whoops-benchmark.s3.amazonaws.com/whoops_images/7bf8c33a3bcd28bfaa1a9d0cc6c637eb3910676484ff0fa89fb03b6cedbd751c.png,Cultural knowledge
