,gold answers
0, plowing sand
1,bottom
2,rough waters
3,blackboard
4,santa
5,cigarette
6,pink or white
7,bride
8,sand
9,vest rides
10,sides
11,An ancient egypian artifact drawing
12,A meal and candle
13,junked car
14,blue
15,blue
16,a steady flame
17,hand
18,white
19,dilapidated shack
20,red
21,pink flower print vs green dress
22,hole
23,metal tracks
24,hot water
25,white
26,A large white glove
27,middle
28,glasses and white clothing
29,3
30,pineapple
31,apple macbook
32,mountains
33,brown
34,black
35,a steep angle
36,wall
37,Cheesecake
38,pebbles
39,white
40,Talons
41,none
42,cigar
43,forest
44,white
45,the bottom
46,4
47,dark grey
48,a road
49,the background
50,kind of green
51,left
52,the Eiffel Tower
53,a cloudy sky
54,Two women
55,the center
56,the floor
57,snow
58,a red hole
59,two
60,the slope
61,the tip
62,a sports field
63,a dark blue and black camera
64,A blue and white ball
65,her head
66,The head
67,A half full bowl
68,Black and white
69,No
70,a dark bluu and black plate
71,A vintage car
72,the future
73,stylus
74,a street with road and building
75,sticks
76,a grey blanket
77,trees and fence
78,standing with his mouth open
79,the shallow end
80,standing
81,The Great Sphinx
82,Gold and black
83,walking
84,swimming
85,the eyes
86,the white house
87,A hat and a beard
88,Five
89,2
90,a stream
91,White
92,coral reefs
93,2
94,In the desert
95,on head and side body
96,playing
97,The tiger staring at zebras
98,Elsa
99,his left wrist
100,playing a concert
