,captions,designer_explanation,question_answering_pairs,image_url,selected_caption,need_fix,question,answer,question_answer_pair,normal_question,weird_answer,gpt4_captioning,crowd_captions,image_id
0,a snow plow driving through the sand,"Snowplows are used to remove snow and ice from outdoor surfaces, so it is unlikely to see one dragging sand.","[[""What is plowing sand in the desert?"", ""A snow plow""], [""What is pushing the sand in the desert?"", ""A snowplow""], [""What is in the picture?"", ""A truck plowing sand""], [""What is pictured in the desert?"", ""A yellow snowplow""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/f6db6afb07f57df7349632044805c65dbb8d2c4514054be45a1244ccc0fbc518.png,A snow plow is plowing sand in a desert.,,what is the snow plow plowing in the desert?,sand,,What is plowing sand in the desert?,A snow plow,"""Conquering the dunes: A powerful sand plow truck makes its way through the desert.""","[""A snow plow is plowing sand in a desert."", ""A yellow snowplow in the desert."", ""A snow plow is plowing sand in the desert."", ""A snowplow pushing sand in a desert."", ""A truck plowing sand in the desert""]",f6db6afb07f57df7349632044805c65dbb8d2c4514054be45a1244ccc0fbc518
1,a red and white life preserver drowned in the water,"life preserver are buoyant and float in water, so it would be impossible to see one sink to the bottom of the ocean floor.","[[""What is on top of moss at the bottom of the ocean?"", ""A buoy""], [""What is pictured sitting on the ocean floor?"", ""A floatation device""], [""What is resting at the bottom of the ocean floor?"", ""A life saving buoy""], [""What is submerged under water?"", ""A throw ring flotation device""], [""What is the life preserver sitting on at the bottom of the ocean?"", ""a reef""], [""What is the buoy on top of?"", ""moss""], [""Where is a life saving buoy located on the ocean floor?"", ""the bottom""], [""A buoy on top of moss at the bottom of what?"", ""the ocean""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/483452e205f21fd1830c4b8c8e90978c36928a5a02f5a90f9dbd75f5a9712b0e.png,A life saving buoy is resting at the bottom of the ocean floor.,"bouy, ocean",Where is a life saving buoy located on the ocean floor?,bottom,,What is resting at the bottom of the ocean floor?,A life saving buoy,"""An abandoned lifebuoy, now a part of the underwater world, tells tales of the sea's forgotten stories.""","[""A large, apparently metal life preserver is sitting on a reef at the bottom of the ocean."", ""A throw ring flotation device is submerged under water."", ""A life saving buoy is resting at the bottom of the ocean floor."", ""A buoy on top of moss at the bottom of the ocean."", ""A floatation device sitting on the ocean floor""]",483452e205f21fd1830c4b8c8e90978c36928a5a02f5a90f9dbd75f5a9712b0e
2,an old sailing ship with sails that are made of wool in the middle of a stormy sea,"Sailors use a sail that will catch the wind and create acceleration, so a sail made of coarse knitted fabric is ineffective because, due to its holes, it cannot catch the wind.","[[""What travels over the ocean with crocheted sails?"", ""A boat""], [""A boat with what type of sails travels over the ocean?"", ""crocheted sails""], [""What kind of sails does this sailboat have?"", ""knitted sails""], [""What kind of sails is the ship using?"", ""macrame rope sails""], [""What are the sails on a ship made out of?"", ""rope""], [""What on a ship is made out of rope?"", ""sails""], [""A boat with crocheted sails travels over what?"", ""the ocean""], [""What are the sails on the sailboat made of?"", ""weaved cotton""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/83d28479a2a3158336fab8f1972ff1f09dbab2a31059cdb2cbc28c7500487737.png,A sailboat with knitted sails sailing in rough waters,"wool?, boat\ship",A boat with crocheted sails travels over what?,rough waters,,A boat with what type of sails travels over the ocean?,crocheted sails,"""Setting sail on a sea of dreams, with sails woven from imagination.""","[""A sailboat with sails made of weaved cotton is sailing on rough seas."", ""A boat with crocheted sails travels over the ocean"", ""A ship is in the ocean with sails made out of rope."", ""A ship is sailing in a rough sea with macrame rope sails."", ""A sailboat with knitted sails sailing in rough waters.""]",83d28479a2a3158336fab8f1972ff1f09dbab2a31059cdb2cbc28c7500487737
3,a little girl is teaching a class,"The knowledge of kindergarten children is limited, and they usually learn basic things, so it is not typical to see a toddler writing mathematical formulas.","[[""What is the toddler doing on the blackboard?"", ""advanced math equations""], [""What is the little girl writing on the chalkboard?"", ""complicated mathematical equations""], [""What is the toddler working on?"", ""complicated mathmatical equations""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/f96a5dd4daf2d45358cd54f910766c2833b93d6c73939be0f9503349512a4fea.png,A young toddler is doing advanced math equations on a blackboard.,,the toddler wrinting advanced math equations on what?,blackboard,,What is the toddler working on?,complicated mathmatical equations,"""Little Genius at Work: A young child explores the world of mathematics on a chalkboard.""","[""A young toddler is doing advanced math equations on a blackboard."", ""a young child is in front of a blackboard performing complex scientific equations"", ""A toddler works on complicated mathmatical equations on a chalkboard"", ""A child is solving a complex math problem."", ""A little girl writing complicated mathematical equations on a chalkboard.""]",f96a5dd4daf2d45358cd54f910766c2833b93d6c73939be0f9503349512a4fea
4,santa claus riding on a horse,"Santa rides in a carriage pulled by reindeer, so seeing him ride on horses is not typical.","[[""What is the condition of Santa Claus?"", ""A breathless""], [""Who is riding on a horse with his elves?"", ""Santa""], [""Who is riding with horses?"", ""Santa Claus""], [""What is Santa Claus riding?"", ""a horse""], [""What is the group of elves following behind Santa called?"", ""a posse""], [""What is Santa Claus leading his elves over?"", ""a snow covered field""], [""Who is following behind Santa on horses?"", ""elves""], [""Who is riding with Santa on the horse?"", ""his elves""], [""What is Santa Claus riding with?"", ""horses""], [""What is behind Santa Claus on his horse?"", ""other horses""], [""Besides horses, what is behind Santa Claus?"", ""people""], [""What is depicted in the desert scene?"", ""santa claus riding horses""], [""Where is santa claus riding horses?"", ""the desert""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/c41f07125752437fd7fc148ae97dbca3951da393808080e8de0edc17fec22601.png,Santa Claus is riding with horses,,Who is following behind Santa on horses?,his elves,,Who is riding on a horse?,Santa,"""Santa Claus leads a festive sleigh ride through a snowy wonderland, spreading holiday cheer!""","[""A breathless Santa Claus is leading a posse of elves on horses behind him over a snow covered field."", ""santa claus riding horses in the desert"", ""Santa and his elves riding horses"", ""Santa Claus is riding with horses."", ""Santa Claus riding a horse with other horses and people behind him.""]",c41f07125752437fd7fc148ae97dbca3951da393808080e8de0edc17fec22601
5,a pregnant woman smoking a cigarette,"Pregnant women adhere to strict rules to not harm the fetus's health, so it is unlikely to see a pregnant woman smoking.","[[""Who is shown smoking a cigarette?"", ""A pregnant woman""], [""What is the pregnant woman's hair styled in?"", ""a bun""], [""What is the pregnant woman smoking?"", ""a cigarette""], [""What is the pregnant woman wearing?"", ""a floral dress""], [""What is the pregnant woman wearing?"", ""an ornate outfit""], [""What is in the pregnant woman's hair bun?"", ""flowers""], [""What part of her body does the pregnant woman wear flowers in?"", ""her hair""], [""What is the pregnant woman smoking?"", ""marijuana""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/281dfde4773c70a8e23fc32810929c4e164108e625f89ddaabc99618c01e441a.png,A pregnant woman is smoking a cigarette.,,What is the pregnant woman smoking,cigarette,,What is the pregnant woman's hair styled in?,a bun,"""A juxtaposition of life and vice: A pregnant woman in traditional attire smokes, enveloped in a cloud of smoke.""","[""A pregnant woman is smoking marijuana."", ""A pregnant woman wearing an ornate outfit smokes a cigarette."", ""A pregnant woman is smoking a cigarette."", ""A pregnant woman, with her hair in a bun and flowers in it, wearing a floral dress and smoking a cigarette"", ""A pregnant woman smoking""]",281dfde4773c70a8e23fc32810929c4e164108e625f89ddaabc99618c01e441a
6,a man with a pacifier in his mouth,Pacifiers are used to calm babies and are not used by adults.,"[[""Who has a pink pacifier in his mouth?"", ""A bearded man""], [""Who has a baby's pacifier in his mouth?"", ""A grown man""], [""What does a grown man have in his mouth?"", ""a baby's pacifier""], [""What does a man have in his mouth?"", ""a pacifier""], [""What does the bearded man have in his mouth?"", ""a pink pacifier""], [""What does the grown man have in his mouth?"", ""a soother""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/9cbe87a7bce33214e0b97429e7f8c8320e653082c5ec4d41a5f34a3a3157ca6d.png,A grown man has a baby's pacifier in his mouth,,what is the color of the pacifier in the grown man mouth,pink,,Who has a pink pacifier in his mouth?,A bearded man,"""When adulting gets too hard, sometimes you just need a pacifier.""","[""A bearded man has a pink pacifier in his mouth."", ""A man has a pacifier in his mouth."", ""A grown man has a baby's pacifier in his mouth."", ""A grown man with a soother in his mouth."", ""A grown man with a pacifier in his mouth""]",9cbe87a7bce33214e0b97429e7f8c8320e653082c5ec4d41a5f34a3a3157ca6d
7,a woman in a black wedding dress,"Brides in the Western world traditionally wear a long white Maxi dress to signify purity and virtue when they get married, while black clothing is typically worn at funerals, not during weddings.","[[""Who is wearing a black wedding dress?"", ""A bride""], [""Who is wearing black leather to a wedding?"", ""A woman""], [""Who walks down the isle with Morticia?"", ""Gomez Addams""], [""Who wears a veil in the wedding scene?"", ""Morticia""], [""Who is the bride standing next to?"", ""a man""], [""What is the man in the picture wearing?"", ""a suit""], [""What does Morticia wear down the isle?"", ""a white veil""], [""A woman is wearing what to a wedding?"", ""black leather""], [""Morticia and Gomez Addams walk down what to be married?"", ""the isle""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/2728be1f7740f3b9696dcfea1ed7d0e7388cf57eaeea037ed638000025790fdf.png,A bride is wearing a black wedding dress.,,Who is wearing a black wedding dress?,bride,,A woman is wearing what to a wedding?,black leather,"""A moment of solemn elegance: the bride and groom stand poised, ready to embark on their new journey together.""","[""A woman is wearing black leather to a wedding."", ""Morticia and Gomez Addams walk down the isle to be married while Morticia wears a white veil."", ""The bride is wearing a black dress."", ""A bride is wearing a black wedding dress."", ""A bride wearing a black dress stands next to a man in a suit.""]",2728be1f7740f3b9696dcfea1ed7d0e7388cf57eaeea037ed638000025790fdf
8,a pink tank in the desert,"Tanks are used in warfare where it is considered ideal to blend in with the surroundings, usually using muted earthy colors, instead of drawing attention with easily spotted colors like pink.","[[""What is in the color pink?"", ""A main battle tank""], [""What is painted in pink?"", ""A military tank""], [""What's roaming the desert?"", ""A pink army tank""], [""what is in the desert?"", ""A pink tank""], [""What does the tank drive across?"", ""a sand""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/d28c682ecdfc63f1ed4011bf673b4f91f1499ba0e85ac76d82cfd27ac662a37f.png,A military tank is painted in pink.,,What does the pink tank drive across?,sand,,What does the tank drive across?,a sand,"""Desert Camouflage: Pink Edition""","[""A pink tank is in the desert."", ""A military tank is painted in pink."", ""A pink army tank is roaming the desert."", ""A bubble gum pink tank drives across a sand towards a large puddle."", ""A main battle tank in the color pink""]",d28c682ecdfc63f1ed4011bf673b4f91f1499ba0e85ac76d82cfd27ac662a37f
9,a woman riding on top of a sheep,"Sheep are too small and slow for adults to ride and would likely be hurt if one tried, even though there are activities such as mutton busting, where sheep are ridden by young children as a form of entertainment, larger animals such as horses are more typically used as mounts.","[[""What is the woman seen straddling?"", ""a large ram""], [""What does the brunette ride on the back of?"", ""a sheep""], [""A brunette female wearing what garment rides on the back of a sheep?"", ""a vest rides""], [""What is blowing in the wind on the woman riding the sheep?"", ""her hair""]]",https://whoops-benchmark.s3.amazonaws.com/whoops_images/ee2e4f83e946073f532b3f9f1ea04cf2d2aebcb507901623a3b6d297cf2aaff1.png,A woman is riding a sheep.,,A brunette female wearing what garment rides on the back of a sheep?,vest rides,,What does the brunette ride on the back of?,a sheep,"""Riding through the clouds on a woolly adventure.""","[""A women is straddling a large ram."", ""A woman rides a large sheep bareback"", ""A brunette female in a vest rides on the back of a sheep through a body of water."", ""A woman is riding a sheep."", ""A woman riding a sheep with her hair blowing in the wind""]",ee2e4f83e946073f532b3f9f1ea04cf2d2aebcb507901623a3b6d297cf2aaff1
