,captions,designer_explanation,question_answering_pairs,image_url,selected_caption,need_fix,question,answer,question_answer_pair,normal_question,weird_answer,crowd_captions,gpt4_captioning,image_id
0,a snow plow driving down a snowy street,,,,,,,,,,,"""a snow plow driving down a snowy street""","""Braving the storm: A snowplow clears the way through heavy snowfall.""",1
1,a red and white life preserver floating in the water,,,,,,,,,,,"""a red and white life preserver floating in the water""","""Floating Hope: A lifebuoy drifts peacefully on the calm ocean, ready to offer a lifeline.""",2
2,a tall ship sailing in the ocean at sunset,,,,,,,,,,,"""a tall ship sailing in the ocean at sunset""","""Majestic voyage: A grand sailing ship navigates the open seas at sunset.""",3
3,a man standing in front of a blackboard,,,,,,,,,,,"""a man standing in front of a blackboard""","""Deep in thought, the mathematician passionately explains complex equations on the chalkboard.""",4
4,santa claus riding on a sleigh with reindeer,,,,,,,,,,,"""santa claus riding on a sleigh with reindeer""","""Santa Claus and his reindeer dash through a snowy forest on Christmas Eve, spreading holiday cheer.""",5
5,a pregnant woman holding a bottle of water,,,,,,,,,,,"""a pregnant woman holding a bottle of water""","""Staying hydrated and healthy for two 💧🤰""",6
6,blue pacifier in baby's mouth,,,,,,,,,,,"""blue pacifier in baby's mouth""","""Bright blue eyes and a pacifier: the perfect combination of cuteness!""",7
7,a bride and groom pose for a photo in a church,,,,,,,,,,,"""a bride and groom pose for a photo in a church""","""A moment of pure joy and love on their special day.""",8
8,an image of a tank in the middle of a puddle,,,,,,,,,,,"""an image of a tank in the middle of a puddle""","""Power and Precision: A tank forges through rugged terrain, reflecting its might in a muddy puddle.""",9
9,a woman is riding a horse,,,,,,,,,,,"""a woman is riding a horse""","""Riding through the storm with determination and grace.""",10
10,a white coffee mug on a gray surface,,,,,,,,,,,"""a white coffee mug on a gray surface""","""A simple white mug, perfect for your morning coffee or tea.""",11
11,an egyptian relief depicting an egyptian god,,,,,,,,,,,"""an egyptian relief depicting an egyptian god""","""Ancient Egyptian relief depicting a figure adorned in blue, surrounded by hieroglyphics.""",12
12,"a table with two glasses of wine, a plate of food and a view of the ocean",,,,,,,,,,,"""a table with two glasses of wine, a plate of food and a view of the ocean""","""An enchanting dinner by the sea, with a breathtaking sunset and a majestic ship sailing in the distance.""",13
13,a car with a bow on it,,,,,,,,,,,"""a car with a bow on it""","""A sleek new ride wrapped with a bow, ready to make someone's day!""",14
