selected_caption,question_answer_pair,answer,full
A snow plow is plowing sand in a desert.,what is the snow plow plowing in the desert?,sand,"['what is the snow plow plowing in the desert?',' plowing sand']"
A life saving buoy is resting at the bottom of the ocean floor.,Where is a life saving buoy located on the ocean floor?,bottom,"['Where is a life saving buoy located on the ocean floor?','bottom']"
A sailboat with knitted sails sailing in rough waters,A boat with crocheted sails travels over what?,rough waters,"['A boat with crocheted sails travels over what?','rough waters']"
A young toddler is doing advanced math equations on a blackboard.,the toddler wrinting advanced math equations on what?,blackboard,"['the toddler wrinting advanced math equations on what?','blackboard']"
Santa Claus is riding with horses,Who is riding on a horse with his elves?,santa,"['Who is riding on a horse with his elves?','santa']"
A pregnant woman is smoking a cigarette.,What is the pregnant woman smoking?,cigarette,"['What is the pregnant woman smoking?','cigarette']"
A grown man has a baby's pacifier in his mouth,what is the color of the pacifier in the grown man mouth?,pink,"['what is the color of the pacifier in the grown man mouth?','pink']"
A bride is wearing a black wedding dress.,Who is wearing a black wedding dress?,bride,"['Who is wearing a black wedding dress?','bride']"
A military tank is painted in pink.,What does the pink tank drive across?,sand,"['What does the pink tank drive across?','sand']"
A woman is riding a sheep.,A brunette female wearing what garment rides on the back of a sheep?,vest rides,"['A brunette female wearing what garment rides on the back of a sheep?','vest rides']"
A coffee cup that is full of holes,A cup has multiple holes on what part of the cup?,sides,"['A cup has multiple holes on what part of the cup?','sides']"
A hieroglyph depicts an ancient Egyptian using a modern computer tablet.,What depicts an ancient Egyptian using a tablet device?,An ancient egypian artifact drawing,"['What depicts an ancient Egyptian using a tablet device?','An ancient egypian artifact drawing']"
"In a boat cabin, a meal setting including glass cups filled with beverages are completely undisturbed as the boats are tossed around stormy seas and large waves.","What, along with drinks, is impervious to rough seas?",A meal,"['What along with drinks is impervious to rough seas?','A meal']"
A gift wrapped junked car.,What kind of car was wrapped as a gift?,junked car,"['What kind of car was wrapped as a gift?','junked car']"
A pillow decorated with metal spikes,what is the color of the pillow that decorated with metal spikes?,blue,"['what is the color of the pillow that decorated with metal spikes?','blue']"
A full grown rooster is hatching from an egg.,What is the color of the tail of the rooster that is hatching from an egg?,blue,"['What is the color of the tail of the rooster that is hatching from an egg?','blue']"
A lit candle is sitting inside a tightly sealed glass jar.,What kind of flame is inside a tightly sealed glass jar?,a steady flame,"['What kind of flame is inside a tightly sealed glass jar?','a steady flame']"
A coal mine worker is working with long acrylic manicured nails,What is the female miner holding up to show long fingernails?,hand,"['What is the female miner holding up to show long fingernails?','hand']"
The plate is served with raw meat.,what is the color of the plate that served raw meat?,white,"['what is the color of the plate that served raw meat?','white']"
Lightning striking a dilapidated shack on a clear sunny day.,What is struck by lightning on a sunny day in the desert?,dilapidated shack,"['What is struck by lightning on a sunny day in the desert?','dilapidated shack']"
The rap artist Tupac Shakur is standing next to a Tesla vehicle and it's charging station.,What is the color of the Tesla that the rap artist Tupac Shakur is standing next to?,red,"['What is the color of the Tesla that the rap artist Tupac Shakur is standing next to?','red']"
