,captions,designer_explanation,question_answering_pairs,image_url,selected_caption,need_fix,question,answer,question_answer_pair,normal_question,weird_answer,crowd_captions,blip_captioning,image_id
0,a snow plow driving down a snowy street,,,,,,,,,,,"""a snow plow driving down a snowy street""","""There is a large yellow snow plow truck driving down a snow-covered street, clearing the way for other vehicles. The truck is equipped with a snow plow and appears to be actively working to remove snow from the road.""",1
1,a red and white life preserver floating in the water,,,,,,,,,,,"""a red and white life preserver floating in the water""","""A red and white life preserver is floating in the middle of a large body of water, such as an ocean or a lake. The life preserver has a rope attached to it, allowing it to stay afloat in the water.""",2
2,a tall ship sailing in the ocean at sunset,,,,,,,,,,,"""a tall ship sailing in the ocean at sunset""","""The image features a large, old-fashioned sailing ship in the middle of the ocean under a cloudy sky. The ship has multiple masts and sails, giving it a majestic appearance as it navigates through the water.""",3
3,a man standing in front of a blackboard,,,,,,,,,,,"""a man standing in front of a blackboard""","""In the image, a man wearing glasses is standing in front of a chalkboard. He is holding a pencil and appears to be writing something on the chalkboard. The chalkboard has various mathematical equations and formulas written on it, indicating that the man is likely a math teacher or professor.""",4
4,santa claus riding on a sleigh with reindeer,,,,,,,,,,,"""santa claus riding on a sleigh with reindeer""","""In the image, Santa Claus is riding on a sleigh pulled by reindeer through a snowy forest. The sleigh is adorned with Christmas decorations, making it a festive and joyful scene.""",5
5,a pregnant woman holding a bottle of water,,,,,,,,,,,"""a pregnant woman holding a bottle of water""","""In the image, a pregnant woman is holding a bottle of water while posing for a picture. She is wearing a purple tank top and appears to be in good health.""",6
6,blue pacifier in baby's mouth,,,,,,,,,,,"""blue pacifier in baby's mouth""","""In the image, a baby is holding a blue pacifier in its mouth while looking directly at the camera. The baby's eyes are also blue, giving it a unique appearance.""",7
7,a bride and groom pose for a photo in a church,,,,,,,,,,,"""a bride and groom pose for a photo in a church""","""In the image, a man and a woman are posing for a wedding photo. The man is wearing a suit and tie, while the woman is wearing a wedding dress and holding a bouquet of flowers. They are both smiling at the camera, creating a happy and joyful atmosphere.""",8
8,an image of a tank in the middle of a puddle,,,,,,,,,,,"""an image of a tank in the middle of a puddle""","""In the image, a large military tank is parked on a muddy field near a body of water. The tank has a camouflage pattern and appears to be ready for action.""",9
9,a woman is riding a horse,,,,,,,,,,,"""a woman is riding a horse""","""In the image, a beautiful woman is riding a brown horse while wearing a brown coat. She appears to be in control of the horse as she sits comfortably on its back, with her hair blowing in the wind.""",10
10,a white coffee mug on a gray surface,,,,,,,,,,,"""a white coffee mug on a gray surface""","""In the image, there is a white ceramic mug sitting on a gray surface. The mug has a handle and appears to be empty, giving it a clean and minimalistic look. The mug is placed on a plain background, emphasizing its simplicity and elegance.""",11
11,an egyptian relief depicting an egyptian god,,,,,,,,,,,"""an egyptian relief depicting an egyptian god""","""The image features an ancient stone carving depicting an egyptian man, possibly a pharaoh, holding something in his hand. The carving is made of stone and appears to be quite old, possibly dating back to ancient Egyptian times.""",12
