,original_captions,gpt4_captioning,image_id
0,['a snow plow driving down a snowy street'],"""Snowplow in action: Clearing the way through a heavy snowfall.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
1,['A snow plow is plowing sand in a desert.'],"""Conquering the dunes: A powerful sand plow truck makes its way through the desert.""",f6db6afb07f57df7349632044805c65dbb8d2c4514054be45a1244ccc0fbc518
2,['a red and white life preserver floating in the water'],"""Floating Hope: A lifebuoy drifts peacefully on the calm ocean, ready to save lives.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
3,['A life saving buoy is resting at the bottom of the ocean floor.'],"""An abandoned lifebuoy, now a part of the underwater world, covered in seaweed and surrounded by serene aquatic life.""",483452e205f21fd1830c4b8c8e90978c36928a5a02f5a90f9dbd75f5a9712b0e
4,['a tall ship sailing in the ocean at sunset'],"""Majestic voyage: A grand sailing ship navigates the open seas at sunset.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
5,['A sailboat with knitted sails sailing in rough waters'],"""Setting sail on a sea of dreams, with sails woven from imagination.""",83d28479a2a3158336fab8f1972ff1f09dbab2a31059cdb2cbc28c7500487737
6,['a man standing in front of a blackboard'],"""Deep in thought, the mathematician passionately explains complex equations on the chalkboard.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
7,['A young toddler is doing advanced math equations on a blackboard.'],"""Little Genius at Work: A young child explores the world of mathematics on a chalkboard.""",f96a5dd4daf2d45358cd54f910766c2833b93d6c73939be0f9503349512a4fea
8,['santa claus riding on a sleigh with reindeer'],"""Santa Claus and his reindeer dash through a snowy forest, spreading holiday cheer on Christmas Eve.""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
9,['Santa Claus is riding with horses'],"""Santa Claus leads a festive sleigh ride through a snowy winter wonderland, spreading holiday cheer!""",c41f07125752437fd7fc148ae97dbca3951da393808080e8de0edc17fec22601
10,['a pregnant woman holding a bottle of water'],"""Staying hydrated and healthy for two 💧🤰""",9862203d47166291d32e720175c78ec7d2fe6f92293150ea353b5a28c44e77a6
11,['A pregnant woman is smoking a cigarette.'],"""A juxtaposition of life and vice: A pregnant woman in traditional attire smokes, enveloped in a cloud of smoke.""",281dfde4773c70a8e23fc32810929c4e164108e625f89ddaabc99618c01e441a
